Comment line
     537 atoms
4 atom types
0 1.4840999999999999E+01 xlo xhi
0 1.7164999999999999E+01 ylo yhi
0 1.7836000000000002E+01 zlo zhi

Masses

1 27
2 15.9999
3 1.0
4 22.99

Atoms

1 1 1 0 0.6120000000 11.4620000000 11.1860000000
2 2 1 0 12.9890000000 9.9600000000 11.3310000000
3 3 1 0 10.6140000000 11.7390000000 11.5420000000
4 4 1 0 8.0340000000 10.3140000000 11.5400000000
5 5 1 0 5.5850000000 11.7560000000 11.6460000000
6 6 1 0 3.2460000000 10.1910000000 11.4600000000
7 7 1 0 0.9500000000 2.9280000000 11.7950000000
8 8 1 0 13.3390000000 1.4950000000 11.6620000000
9 9 1 0 10.7980000000 2.8500000000 11.5580000000
10 10 1 0 8.3300000000 1.2720000000 11.4920000000
11 11 1 0 5.8010000000 2.7110000000 11.5010000000
12 12 1 0 3.2830000000 1.3790000000 11.5300000000
13 13 1 0 0.6840000000 5.7510000000 11.5290000000
14 14 1 0 3.2540000000 7.2280000000 11.3440000000
15 15 1 0 10.4970000000 5.7010000000 11.5370000000
16 16 1 0 13.0170000000 7.1380000000 11.5500000000
17 17 1 0 5.6460000000 5.7150000000 11.4930000000
18 18 1 0 8.1330000000 7.2410000000 11.3650000000
19 19 1 0 4.5250000000 7.3410000000 6.6150000000
20 20 1 0 2.0420000000 5.8880000000 6.6220000000
21 21 1 0 14.3770000000 7.3890000000 6.7690000000
22 22 1 0 11.9910000000 5.6870000000 6.8420000000
23 23 1 0 9.4550000000 7.2080000000 6.7070000000
24 24 1 0 6.9280000000 5.8040000000 6.7000000000
25 25 1 0 4.4950000000 15.8190000000 6.8590000000
26 26 1 0 2.0850000000 14.3630000000 6.7990000000
27 27 1 0 14.5070000000 15.8530000000 6.9950000000
28 28 1 0 12.0630000000 14.4240000000 6.8690000000
29 29 1 0 9.5370000000 15.7740000000 6.8560000000
30 30 1 0 6.9820000000 14.3090000000 6.8910000000
31 31 1 0 14.5540000000 10.1350000000 6.6140000000
32 32 1 0 2.1230000000 11.5480000000 6.6790000000
33 33 1 0 9.5780000000 10.1380000000 6.6650000000
34 34 1 0 12.1110000000 11.5200000000 6.6860000000
35 35 1 0 7.1420000000 11.4860000000 6.6760000000
36 36 1 0 4.6940000000 10.1680000000 6.6560000000
37 37 1 0 14.6840000000 1.5200000000 6.9450000000
38 38 1 0 2.1760000000 3.1120000000 6.7210000000
39 39 1 0 9.4860000000 1.4610000000 6.6980000000
40 40 1 0 12.0770000000 2.8180000000 6.8940000000
41 41 1 0 4.5610000000 1.5640000000 6.8180000000
42 42 1 0 6.9570000000 3.0370000000 6.7480000000
43 43 2 0 1.3610000000 13.0280000000 12.1590000000
44 44 2 0 10.4290000000 15.6720000000 10.3020000000
45 45 2 0 6.2240000000 13.0570000000 12.8590000000
46 46 2 0 14.6160000000 17.4060000000 12.9860000000
47 47 2 0 9.1180000000 -0.0750000000 12.8550000000
48 48 2 0 3.9040000000 17.0690000000 12.5730000000
49 49 2 0 1.2580000000 10.4340000000 15.1260000000
50 50 2 0 14.8490000000 14.5660000000 13.9090000000
51 51 2 0 11.6020000000 6.1260000000 15.4010000000
52 52 2 0 12.0290000000 11.5120000000 15.0940000000
53 53 2 0 0.9820000000 17.9940000000 16.6040000000
54 54 2 0 0.3120000000 3.4560000000 15.5380000000
55 55 2 0 11.0020000000 7.8230000000 2.1030000000
56 56 2 0 10.9530000000 8.5570000000 17.1320000000
57 57 2 0 11.7080000000 11.0850000000 18.4120000000
58 58 2 0 11.7900000000 3.1340000000 15.4020000000
59 59 2 0 4.7270000000 10.5460000000 15.1450000000
60 60 2 0 13.4150000000 -0.1970000000 17.3200000000
61 61 2 0 6.2070000000 0.7030000000 3.1990000000
62 62 2 0 14.4250000000 12.6530000000 15.4140000000
63 63 2 0 6.7520000000 16.1350000000 15.1770000000
64 64 2 0 5.0050000000 15.6530000000 10.7170000000
65 65 2 0 3.8940000000 1.5840000000 17.5350000000
66 66 2 0 14.2850000000 13.5850000000 0.3880000000
67 67 2 0 1.1290000000 14.0710000000 3.3500000000
68 68 2 0 13.3090000000 15.6700000000 3.3670000000
69 69 2 0 11.0610000000 4.3560000000 0.2550000000
70 70 2 0 7.8580000000 7.2470000000 15.0550000000
71 71 2 0 9.7220000000 14.4980000000 3.0580000000
72 72 2 0 6.7350000000 14.8890000000 2.7900000000
73 73 2 0 4.9580000000 7.9940000000 3.0170000000
74 74 2 0 12.7370000000 5.9640000000 3.0380000000
75 75 2 0 3.1010000000 14.1240000000 17.5440000000
76 76 2 0 5.3940000000 1.3340000000 15.1950000000
77 77 2 0 10.0600000000 15.3670000000 -0.5370000000
78 78 2 0 1.8010000000 4.0600000000 0.1490000000
79 79 2 0 3.8560000000 14.5390000000 2.5990000000
80 80 2 0 8.7290000000 3.5120000000 15.7040000000
81 81 2 0 3.7810000000 11.2520000000 -0.2070000000
82 82 2 0 2.2090000000 9.0060000000 -0.1250000000
83 83 2 0 2.7330000000 2.8680000000 15.0470000000
84 84 2 0 14.2760000000 8.4570000000 0.5060000000
85 85 2 0 12.3890000000 1.5220000000 2.9890000000
86 86 2 0 12.3070000000 15.3820000000 13.0690000000
87 87 2 0 8.0280000000 9.0040000000 17.3970000000
88 88 2 0 7.2640000000 9.1690000000 2.3150000000
89 89 2 0 13.4040000000 2.8580000000 18.2790000000
90 90 2 0 14.9100000000 15.5170000000 10.3910000000
91 91 2 0 7.2830000000 11.0250000000 15.7550000000
92 92 2 0 5.9660000000 11.4830000000 1.5990000000
